0.054663,-10.000000,0.3660
0.061333,-9.000000,0.3440
0.068817,-8.000000,0.3430
0.077214,-7.000000,0.3300
0.086636,-6.000000,0.3200
0.097207,-5.000000,0.2780
0.109068,-4.000000,0.2630
0.122376,-3.000000,0.2450
0.137308,-2.000000,0.2040
0.154062,-1.000000,0.1970
0.172861,0.000000,0.1520
0.193953,1.000000,0.1240
0.217619,2.000000,0.0970
0.244172,3.000000,0.0730
0.273966,4.000000,0.0550
0.307395,5.000000,0.0300
0.344903,6.000000,0.0210
0.386987,7.000000,0.0100
0.434207,8.000000,0.0050
0.487188,9.000000,0.0040
0.546634,10.000000,0.0010
0.613333,11.000000,0.0000
0.688171,12.000000,0.0000
0.772141,13.000000,0.0000
0.866356,14.000000,0.0000
0.972068,15.000000,0.0000
1.090678,16.000000,0.0000
1.223761,17.000000,0.0000
1.373082,18.000000,0.0000
1.540623,19.000000,0.0000
1.728608,20.000000,0.0000
1.939530,21.000000,0.0000
2.176188,22.000000,0.0000
2.441723,23.000000,0.0000
2.739659,24.000000,0.0000
3.073947,25.000000,0.0000
3.449026,26.000000,0.0000
3.869870,27.000000,0.0000
4.342066,28.000000,0.0000
4.871878,29.000000,0.0000
5.466337,30.000000,0.0000
