0.002988,-10.000000,0.4910
0.003762,-9.000000,0.4800
0.004736,-8.000000,0.4850
0.005962,-7.000000,0.5100
0.007506,-6.000000,0.4960
0.009449,-5.000000,0.4840
0.011896,-4.000000,0.4570
0.014976,-3.000000,0.4830
0.018854,-2.000000,0.4580
0.023735,-1.000000,0.4600
0.029881,0.000000,0.4390
0.037618,1.000000,0.4180
0.047358,2.000000,0.3890
0.059620,3.000000,0.3620
0.075057,4.000000,0.3130
0.094492,5.000000,0.2920
0.118958,6.000000,0.2580
0.149759,7.000000,0.2020
0.188535,8.000000,0.1410
0.237352,9.000000,0.0800
0.298808,10.000000,0.0530
0.376178,11.000000,0.0160
0.473579,12.000000,0.0010
0.596201,13.000000,0.0000
0.750573,14.000000,0.0000
0.944915,15.000000,0.0000
1.189578,16.000000,0.0000
1.497590,17.000000,0.0000
1.885354,18.000000,0.0000
2.373520,19.000000,0.0000
2.988084,20.000000,0.0000
3.761775,21.000000,0.0000
4.735795,22.000000,0.0000
5.962012,23.000000,0.0000
7.505729,24.000000,0.0000
9.449153,25.000000,0.0000
11.895778,26.000000,0.0000
14.975898,27.000000,0.0000
18.853538,28.000000,0.0000
23.735198,29.000000,0.0000
29.880844,30.000000,0.0000
